$ Get data for 824:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:17 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA824           Touchet
WA824       0602   9     40.00
WA824       0602  10     52.00
WA824       0602  11     60.00
WA824       0602  12     69.00
WA824       0602  13     72.00
WA824       0602  14     76.00
WA824       0602  15     75.00
WA824       0602  16     70.00
WA824       0602  17     59.00
WA824       0602  18     45.00
WA824       0602  19     58.00
WA824       0602  20     67.00
WA824       0602  21     70.00
WA824       0602  22     71.00
WA824       0602  23     65.00
WA824       0602  24     69.00
WA824       0602  25     76.00
WA824       0602  26     85.00
WA824       0602  27     72.00
WA824       0602  28     67.00
WA824       0602  29     58.00
WA824       0602  30     59.00
WA824       0702   1     60.00
WA824       0702   2     67.00
WA824       0702   3     64.00
WA824       0702   4     59.00
WA824       0702   5     64.00
WA824       0702   6     73.00
WA824       0702   7     80.00
WA824       0702   8     61.00
WA824       0702   9     74.00
WA824       0702  10     89.00
WA824       0702  11     87.00
WA824       0702  12     89.00
WA824       0702  13     91.00
WA824       0702  14     73.00
WA824       0702  15     77.00
WA824       0702  16     79.00
WA824       0702  17     76.00
WA824       0702  18     75.00
WA824       0702  19     69.00
WA824       0702  20     72.00
WA824       0702  21     76.00
WA824       0702  22     79.00
WA824       0702  23     81.00
WA824       0702  24     82.00
WA824       0702  25     74.00
WA824       0702  26     67.00
WA824       0702  27     67.00
WA824       0702  28     71.00
WA824       0702  29     72.00
WA824       0702  30     69.00
WA824       0702  31     63.00
WA824       0802   1     73.00
WA824       0802   2     62.00
WA824       0802   3     69.00
WA824       0802   4     54.00
WA824       0802   5     58.00
WA824       0802   6     55.00
WA824       0802   7     60.00
WA824       0802   8     65.00
WA824       0802   9     73.00
WA824       0802  10     73.00
WA824       0802  11     69.00
WA824       0802  12     71.00
WA824       0802  13     79.00
WA824       0802  14     78.00
WA824       0802  15     76.00
WA824       0802  16     67.00
WA824       0802  17     71.00
WA824       0802  18     69.00
WA824       0802  19     69.00
WA824       0802  20     60.00
WA824       0802  21     52.00
WA824       0802  22     64.00
WA824       0802  23     71.00
WA824       0802  24     71.00
WA824       0802  25     71.00
WA824       0802  26     66.00
WA824       0802  27     70.00
WA824       0802  28     75.00
WA824       0802  29     72.00
WA824       0802  30     71.00
WA824       0802  31     71.00
WA824       0902   1     64.00
WA824       0902   2     74.00
WA824       0902   3     63.00
WA824       0902   4     61.00
WA824       0902   5     59.00
WA824       0902   6     57.00
WA824       0902   7     54.00
WA824       0902   8     59.00
WA824       0902   9     67.00
WA824       0902  10     77.00
WA824       0902  11     78.00
WA824       0902  12     79.00
WA824       0902  13     77.00
WA824       0902  14     82.00
WA824       0902  15     76.00
WA824       0902  16     54.00
WA824       0902  17     47.00
WA824       0902  18     57.00
WA824       0902  19     67.00
WA824       0902  20     55.00
