$ Get data for 507:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:53:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA507           Grouse Camp
WA507       0402  16     21.00
WA507       0402  17     24.00
WA507       0402  18     23.00
WA507       0402  19     26.00
WA507       0402  20     26.00
WA507       0402  21     28.00
WA507       0402  22     19.00
WA507       0402  23     16.00
WA507       0402  24     15.00
WA507       0402  25     24.00
WA507       0402  26     27.00
WA507       0402  27     27.00
WA507       0402  28     25.00
WA507       0402  29     26.00
WA507       0402  30     37.00
WA507       0502   1     30.00
WA507       0502   2     24.00
WA507       0502   3     21.00
WA507       0502   4     24.00
WA507       0502   5     20.00
WA507       0502   6     16.00
WA507       0502   7     18.00
WA507       0502   8     18.00
WA507       0502   9     25.00
WA507       0502  10     27.00
WA507       0502  11     29.00
WA507       0502  12     32.00
WA507       0502  13     29.00
WA507       0502  14     26.00
WA507       0502  15     28.00
WA507       0502  16     28.00
WA507       0502  17     33.00
WA507       0502  18     35.00
WA507       0502  19     36.00
WA507       0502  20     32.00
WA507       0502  21     30.00
WA507       0502  22     30.00
WA507       0502  23     28.00
WA507       0502  24     30.00
WA507       0502  25     34.00
WA507       0502  26     34.00
WA507       0502  27     36.00
WA507       0502  28     38.00
WA507       0502  29     37.00
WA507       0502  30     31.00
WA507       0502  31     37.00
WA507       0602   1     38.00
WA507       0602   2     38.00
WA507       0602   3     36.00
WA507       0602   4     43.00
WA507       0602   5     33.00
WA507       0602   6     28.00
WA507       0602   7     26.00
WA507       0602   8     24.00
WA507       0602   9     34.00
WA507       0602  10     36.00
WA507       0602  11     36.00
WA507       0602  12     41.00
WA507       0602  13     45.00
WA507       0602  14     47.00
WA507       0602  15     49.00
WA507       0602  16     41.00
WA507       0602  17     42.00
WA507       0602  18     34.00
WA507       0602  19     34.00
WA507       0602  20     36.00
WA507       0602  21     42.00
WA507       0602  22     49.00
WA507       0602  23     41.00
WA507       0602  24     39.00
WA507       0602  25     46.00
WA507       0602  26     51.00
WA507       0602  27     44.00
WA507       0602  28     39.00
WA507       0602  29     38.00
WA507       0602  30     37.00
WA507       0702   1     32.00
WA507       0702   2     32.00
WA507       0702   3     36.00
WA507       0702   4     33.00
WA507       0702   5     28.00
WA507       0702   6     41.00
WA507       0702   7     47.00
WA507       0702   8     40.00
WA507       0702   9     39.00
WA507       0702  10     51.00
WA507       0702  11     56.00
WA507       0702  12     60.00
WA507       0702  13     61.00
WA507       0702  14     51.00
WA507       0702  15     50.00
WA507       0702  16     50.00
WA507       0702  17     47.00
WA507       0702  18     53.00
WA507       0702  19     47.00
WA507       0702  20     46.00
WA507       0702  21     52.00
WA507       0702  22     56.00
WA507       0702  23     54.00
WA507       0702  24     56.00
WA507       0702  25     53.00
WA507       0702  26     46.00
WA507       0702  27     45.00
WA507       0702  28     48.00
WA507       0702  29     47.00
WA507       0702  30     35.00
WA507       0702  31     31.00
WA507       0802   1     38.00
WA507       0802   2     39.00
WA507       0802   3     35.00
WA507       0802   4     37.00
WA507       0802   5     30.00
WA507       0802   6     32.00
WA507       0802   7     35.00
WA507       0802   8     39.00
WA507       0802   9     46.00
WA507       0802  10     46.00
WA507       0802  11     48.00
WA507       0802  12     50.00
WA507       0802  13     53.00
WA507       0802  14     53.00
WA507       0802  15     46.00
WA507       0802  16     44.00
WA507       0802  17     41.00
WA507       0802  18     45.00
WA507       0802  19     42.00
WA507       0802  20     42.00
WA507       0802  21     40.00
WA507       0802  22     47.00
WA507       0802  23     48.00
WA507       0802  24     47.00
WA507       0802  25     47.00
WA507       0802  26     44.00
WA507       0802  27     52.00
WA507       0802  28     51.00
WA507       0802  29     50.00
WA507       0802  30     49.00
WA507       0802  31     48.00
WA507       0902   1     46.00
WA507       0902   2     47.00
WA507       0902   3     33.00
WA507       0902   4     30.00
WA507       0902   5     35.00
WA507       0902   6     32.00
WA507       0902   7     30.00
WA507       0902   8     30.00
WA507       0902   9     40.00
WA507       0902  10     41.00
WA507       0902  11     46.00
WA507       0902  12     48.00
WA507       0902  13     50.00
WA507       0902  14     50.00
WA507       0902  15     47.00
WA507       0902  16     39.00
WA507       0902  17     34.00
WA507       0902  18     33.00
WA507       0902  19     36.00
