$ Get data for 420:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:48:51 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA420           Cougar Mountain
WA420       0702  22     58.00
WA420       0702  23     58.00
WA420       0702  24     56.00
WA420       0702  25     54.00
WA420       0702  26     49.00
WA420       0702  27     47.00
WA420       0702  28     47.00
WA420       0702  29     48.00
WA420       0702  30     42.00
WA420       0702  31     39.00
WA420       0802   1     41.00
WA420       0802   2     39.00
WA420       0802   3     40.00
WA420       0802   4     42.00
WA420       0802   5     38.00
WA420       0802   6     42.00
WA420       0802   7     42.00
WA420       0802   8     43.00
WA420       0802   9     48.00
WA420       0802  10     50.00
WA420       0802  11     47.00
WA420       0802  12     49.00
WA420       0802  13     58.00
WA420       0802  14     55.00
WA420       0802  15     52.00
WA420       0802  16     47.00
WA420       0802  17     46.00
WA420       0802  18     44.00
WA420       0802  19     46.00
WA420       0802  20     47.00
WA420       0802  21     45.00
WA420       0802  22     48.00
WA420       0802  23     50.00
WA420       0802  24     52.00
WA420       0802  25     50.00
WA420       0802  26     48.00
WA420       0802  27     48.00
WA420       0802  28     56.00
WA420       0802  29     45.00
WA420       0802  30     45.00
WA420       0802  31     46.00
WA420       0902   1     48.00
WA420       0902   2     45.00
WA420       0902   3     39.00
WA420       0902   4     38.00
WA420       0902   5     38.00
WA420       0902   6     38.00
WA420       0902   7     40.00
WA420       0902   8     38.00
WA420       0902   9     46.00
WA420       0902  10     51.00
WA420       0902  11     49.00
WA420       0902  12     51.00
WA420       0902  13     49.00
WA420       0902  14     51.00
WA420       0902  15     48.00
WA420       0902  16     43.00
WA420       0902  17     39.00
WA420       0902  18     38.00
