$ Get data for 630:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:26 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA630           Miners Ridge
WA630       0702  13     49.00
WA630       0702  14     41.00
WA630       0702  15     39.00
WA630       0702  16     46.00
WA630       0702  17     45.00
WA630       0702  18     44.00
WA630       0702  19     41.00
WA630       0702  20     38.00
WA630       0702  21     47.00
WA630       0702  22     53.00
WA630       0702  23     55.00
WA630       0702  24     52.00
WA630       0702  25     47.00
WA630       0702  26     42.00
WA630       0702  27     41.00
WA630       0702  28     41.00
WA630       0702  29     41.00
WA630       0702  30     34.00
WA630       0702  31     30.00
WA630       0802   1     39.00
WA630       0802   2     33.00
WA630       0802   3     39.00
WA630       0802   4     34.00
WA630       0802   5     32.00
WA630       0802   6     34.00
WA630       0802   7     33.00
WA630       0802   8     36.00
WA630       0802   9     43.00
WA630       0802  10     42.00
WA630       0802  11     39.00
WA630       0802  12     45.00
WA630       0802  13     55.00
WA630       0802  14     47.00
WA630       0802  15     46.00
WA630       0802  16     42.00
WA630       0802  17     41.00
WA630       0802  18     40.00
WA630       0802  19     39.00
WA630       0802  20     38.00
WA630       0802  21     40.00
WA630       0802  22     41.00
WA630       0802  23     52.00
WA630       0802  24     50.00
WA630       0802  25     46.00
WA630       0802  26     43.00
WA630       0802  27     48.00
WA630       0802  28     54.00
WA630       0802  29     47.00
WA630       0802  30     44.00
WA630       0802  31     41.00
WA630       0902   1     36.00
WA630       0902   2     39.00
WA630       0902   3     30.00
WA630       0902   4     29.00
WA630       0902   5     33.00
WA630       0902   6     32.00
WA630       0902   7     32.00
WA630       0902   8     31.00
WA630       0902   9     38.00
WA630       0902  10     47.00
WA630       0902  11     47.00
WA630       0902  12     47.00
WA630       0902  13     46.00
WA630       0902  14     53.00
WA630       0902  15     38.00
WA630       0902  16     35.00
WA630       0902  17     32.00
WA630       0902  18     31.00
WA630       0902  19     31.00
